4/25/12,501
5/2/12,583
5/9/12,616
5/17/12,659
5/24/12,698
5/31/12,748
6/5/12,791
6/14/12,801
6/21/12,818
6/26/12,836
7/5/12,875
7/6/12,875
7/10/12,898
7/11/12,898
7/20/12,898
7/25/12,1412
8/8/12,1540
8/10/12,1634
8/17/12,1844
8/25/12,2144
8/31/12,2644
9/7/12,2984
9/10/12,3138
9/12/12,3903
9/13/12,3466
9/21/12,3964
9/28/12,4487
10/5/12,4859
10/12/12,5164
10/16/12,5401
10/19/12,5647
10/31/12,6857
11/5/12,7210
11/6/12,7369
11/7/12,7607
11/12/12,8100
11/18/12,8533
11/21/12,9292
11/26/12,9861
11/28/12,10260
12/2/12,10683
12/5/12,11181
12/9/12,11461
12/10/12,11613
12/11/12,11748
12/12/12,11815
12/16/12,11899
12/18/12,11954
12/19/12,11978
12/23/12,12048
12/24/12,12074
12/26/12,12101
12/30/12,12161
12/31/12,12187
1/6/13,12217
1/7/13,12293
1/8/13,12377
1/9/13,12411
1/10/13,12614
1/15/13,13276
1/16/13,13432
1/20/13,13852
1/21/13,14047
1/22/13,14209
1/23/13,14372
1/28/13,14895
1/30/13,15247
2/3/13,15673
2/4/13,15851
2/5/13,15989
2/6/13,16237
2/10/13,16917
2/11/13,17122
2/12/13,17321
2/13/13,17483
2/17/13,18118
2/18/13,18389
2/19/13,18542
2/20/13,18901
2/25/13,19565
2/27/13,20139
3/3/13,20669
3/5/13,21436
3/9/13,22002
3/10/13,22380
3/12/13,22933
3/13/13,23318
3/17/13,23625
3/18/13,23957
3/20/13,24349
3/24/13,24581
3/25/13,24935
3/26/13,25207
3/27/13,25472
4/1/13,26337
4/2/13,26589
4/3/13,26733
4/6/13,26967
4/7/13,27278
4/8/13,27438
4/9/13,27438
4/10/13,27916
4/11/13,28130
4/14/13,28429
4/15/13,28745
4/16/13,29054
4/17/13,29177
4/18/13,29373
4/21/13,29645
4/22/13,29859
4/23/13,30108
4/24/13,30244
4/29/13,30897
4/30/13,31059
5/2/13,31262
5/5/13,31476
5/6/13,31645
5/7/13,31823
5/8/13,31975
5/9/13,32101
5/12/13,32258
5/13/13,32386
5/14/13,32519
5/15/13,32624
5/16/13,32787
5/20/13,33886
5/21/13,33975
5/23/13,34173
5/26/13,34289
5/27/13,34352
5/28/13,34434
5/29/13,34473
5/30/13,34526
6/3/13,34815
6/4/13,34884
6/6/13,37337
6/9/13,37420
6/10/13,37503
6/11/13,37563
6/12/13,37622
6/13/13,37684
6/17/13,37885
6/18/13,37929
6/20/13,38012
6/23/13,38076
6/24/13,38147
6/25/13,38187
6/26/13,38194
6/30/13,38329
7/1/13,38422
7/3/13,38520
7/7/13,38634
7/8/13,38753
7/9/13,38846
7/11/13,38938
7/15/13,39013
7/16/13,39062
7/17/13,39127
7/21/13,39250
7/22/13,39319
7/23/13,39940
7/25/13,40070
7/28/13,40146
8/4/13,40412
8/6/13,38557
8/13/13,38651
8/25/13,39189
8/29/13,40143
9/1/13,40382
9/16/13,42838
9/18/13,43174
9/19/13,43377
9/23/13,43608
9/24/13,43841
9/26/13,44224
9/29/13,44440
10/1/13,44806
10/2/13,45050
10/3/13,44611
10/6/13,44834
10/7/13,44784
10/8/13,44952
10/9/13,45125
10/10/13,45313
10/13/13,45417
10/20/13,45637
10/21/13,45800
10/22/13,45982
11/5/13,70991
11/10/13,71527
11/12/13,71963
11/17/13,72461
11/20/13,75448
11/26/13,76120
11/27/13,76183
12/2/13,74683
12/4/13,75101
12/12/13,76213
12/18/13,76612
1/6/14,77524
1/22/14,78952
1/27/14,79280
2/5/14,84881
2/10/14,83478
2/23/14,83602
2/28/14,84043
3/5/14,84881
3/23/14,81901
3/30/14,81815
4/15/14,70408
4/30/14,73914
5/15/14,78690
6/15/14,84680
6/30/14,86974
7/15/14,86935
7/31/14,88506
8/15/14,89803
8/26/14,88375
9/2/14,88699
9/15/14,89067
9/30/14,90192
10/15/14,91171
10/21/14,92166
10/31/14,93482
11/15/14,69794
11/30/14,69794
12/15/14,71944
12/31/14,73130
1/15/15,73473
1/31/15,75432
2/15/15,75461
2/28/15,77159
3/15/15,80450
3/31/15,80004
5/5/15,80751
5/15/15,80712
5/31/15,81048
6/15/15,81602
6/30/15,82090
7/15/15,82673
7/31/15,82968
8/15/15,82445
8/29/15,82098
9/13/15,81946
9/28/15,81652
10/15/15,80971
10/27/15,81339
11/15/15,81258
11/28/15,81019
12/31/15,81756
1/15/16,81998
2/15/16,82824
2/29/16,82991
