1/27/12,6290
2/10/12,6133
2/17/12,6522
2/24/12,6916
3/2/12,7058
3/7/12,7088
3/16/12,7913
3/22/12,8610
3/29/12,9106
4/18/12,10532
4/20/12,10704
4/23/12,10804
4/24/12,11174
4/26/12,12309
4/27/12,12671
4/30/12,13405
5/3/12,13582
5/8/12,13672
5/11/12,14514
5/16/12,15074
5/17/12,15466
5/24/12,15873
5/31/12,17041
6/1/12,17267
6/7/12,19068
6/14/12,20702
6/21/12,22530
6/27/12,24024
6/29/12,25411
7/5/12,26183
7/6/12,26905
7/12/12,28477
7/18/12,29986
7/20/12,31004
7/24/12,31004
7/25/12,31596
7/30/12,32796
7/31/12,33382
8/1/12,33664
8/3/12,33871
8/6/12,34358
8/7/12,34742
8/8/12,35141
8/9/12,35686
8/10/12,36040
8/14/12,36927
8/15/12,37240
8/16/12,37541
8/21/12,38239
8/22/12,39194
8/23/12,39506
8/24/12,39826
8/27/12,40232
8/28/12,41090
8/29/12,41949
8/30/12,42947
8/31/12,43760
9/3/12,44629
9/4/12,45321
9/5/12,46177
9/6/12,46509
9/7/12,46628
9/10/12,47330
9/11/12,48072
9/12/12,48925
9/13/12,49653
9/14/12,50440
9/17/12,51121
9/18/12,51665
9/19/12,52410
9/20/12,53233
9/21/12,53731
9/24/12,54456
9/25/12,55298
9/26/12,56225
9/27/12,56947
9/28/12,57335
10/1/12,58318
10/2/12,59172
10/3/12,60089
10/4/12,61003
10/5/12,61341
10/8/12,62109
10/9/12,62997
10/10/12,63916
10/11/12,64836
10/12/12,65801
10/15/12,66660
10/16/12,67848
10/17/12,69095
10/18/12,70440
10/19/12,71592
10/23/12,72301
10/24/12,73393
10/25/12,74090
10/29/12,74720
10/30/12,75668
10/31/12,77014
11/1/12,77734
11/2/12,79356
11/5/12,80357
11/6/12,81605
11/7/12,82690
11/8/12,83860
11/9/12,84772
11/12/12,85661
11/13/12,87021
11/14/12,88794
11/16/12,90292
11/19/12,91836
11/20/12,93110
11/21/12,94603
11/23/12,95452
11/26/12,97152
11/27/12,99063
11/28/12,100726
11/29/12,102369
11/30/12,103160
12/3/12,104583
12/4/12,106130
12/5/12,107506
12/6/12,109081
12/7/12,110236
12/10/12,111865
12/11/12,113545
12/12/12,115212
12/13/12,116686
12/14/12,118020
12/18/12,119596
12/19/12,120989
12/20/12,122366
12/24/12,123224
12/26/12,124945
12/27/12,126724
12/28/12,128314
12/31/12,129106
1/2/13,130799
1/3/13,132354
1/4/13,133876
1/7/13,135361
1/8/13,137065
1/9/13,138213
1/10/13,139275
1/11/13,140650
1/14/13,142360
1/15/13,143898
1/16/13,145689
1/17/13,147658
1/18/13,149606
1/21/13,151602
1/22/13,153505
1/23/13,155390
1/25/13,157139
1/28/13,158973
1/29/13,161067
1/30/13,163036
1/31/13,165003
2/1/13,166173
2/4/13,168092
2/5/13,170273
2/6/13,172361
2/7/13,174462
2/8/13,176849
2/11/13,178994
2/12/13,181117
2/13/13,182938
2/14/13,185081
2/15/13,187094
2/18/13,188990
2/19/13,190954
2/20/13,193093
2/21/13,195098
2/22/13,196744
2/25/13,198568
2/26/13,200497
2/27/13,202222
2/28/13,203835
3/1/13,205419
3/4/13,207326
3/5/13,209175
3/6/13,211402
3/7/13,213415
3/8/13,215818
3/11/13,217943
3/12/13,220525
3/13/13,223009
3/14/13,225709
3/15/13,227927
3/18/13,230692
3/19/13,233469
3/20/13,236170
3/21/13,238777
3/22/13,240763
3/25/13,243486
3/26/13,246147
3/27/13,248851
3/28/13,251407
3/29/13,252983
4/2/13,256200
4/3/13,259503
4/4/13,262960
4/5/13,265958
4/8/13,269465
4/9/13,273530
4/10/13,277320
4/11/13,281271
4/12/13,284942
4/15/13,289259
4/16/13,293836
4/17/13,298165
4/18/13,302689
4/20/13,311281
4/22/13,316301
4/23/13,320501
4/24/13,325791
4/25/13,330736
4/26/13,334609
4/29/13,339293
4/30/13,343843
5/2/13,347825
5/3/13,350795
5/7/13,353757
5/8/13,357374
5/9/13,360988
5/10/13,364153
5/13/13,367978
5/14/13,371964
5/15/13,375624
5/16/13,379264
5/17/13,382890
5/20/13,386922
5/21/13,391286
5/22/13,395168
5/23/13,399203
5/24/13,403152
5/27/13,407262
5/28/13,411966
5/29/13,415826
5/30/13,420044
5/31/13,423495
6/3/13,426802
6/4/13,430326
6/5/13,434079
6/6/13,437604
6/7/13,440427
6/10/13,445043
6/11/13,448092
6/12/13,451981
