Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,
Date extracted: 2016-03-31 19:48:42 +02:00,,,
,,,
Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations)
2011,United Arab Emirates,Syrian Arab Rep.,37
2011,Armenia,Syrian Arab Rep.,6
2011,Australia,Syrian Arab Rep.,84
2011,Austria,Syrian Arab Rep.,903
2011,Azerbaijan,Syrian Arab Rep.,1
2011,Belgium,Syrian Arab Rep.,312
2011,Benin,Syrian Arab Rep.,1
2011,Bulgaria,Syrian Arab Rep.,98
2011,Bahrain,Syrian Arab Rep.,
2011,Bosnia and Herzegovina,Syrian Arab Rep.,1
2011,Brazil,Syrian Arab Rep.,6
2011,Canada,Syrian Arab Rep.,547
2011,Switzerland,Syrian Arab Rep.,1074
2011,China,Syrian Arab Rep.,
2011,Costa Rica,Syrian Arab Rep.,
2011,Cyprus,Syrian Arab Rep.,137
2011,Czech Rep.,Syrian Arab Rep.,23
2011,Germany,Syrian Arab Rep.,10155
2011,Denmark,Syrian Arab Rep.,1197
2011,Dominican Rep.,Syrian Arab Rep.,
2011,Algeria,Syrian Arab Rep.,
2011,Ecuador,Syrian Arab Rep.,11
2011,Egypt,Syrian Arab Rep.,9
2011,Spain,Syrian Arab Rep.,32
2011,Finland,Syrian Arab Rep.,86
2011,France,Syrian Arab Rep.,351
2011,United Kingdom,Syrian Arab Rep.,693
2011,Greece,Syrian Arab Rep.,10
2011,Croatia,Syrian Arab Rep.,
2011,Hungary,Syrian Arab Rep.,42
2011,Indonesia,Syrian Arab Rep.,
2011,India,Syrian Arab Rep.,
2011,Ireland,Syrian Arab Rep.,27
2011,Iraq,Syrian Arab Rep.,323
2011,Iceland,Syrian Arab Rep.,1
2011,Italy,Syrian Arab Rep.,262
2011,Jordan,Syrian Arab Rep.,193
2011,Kazakhstan,Syrian Arab Rep.,
2011,Kyrgyzstan,Syrian Arab Rep.,9
2011,Rep. of Korea,Syrian Arab Rep.,
2011,Kuwait,Syrian Arab Rep.,10
2011,Lebanon,Syrian Arab Rep.,124
2011,Sri Lanka,Syrian Arab Rep.,1
2011,Lithuania,Syrian Arab Rep.,4
2011,Latvia,Syrian Arab Rep.,4
2011,"China, Macao SAR",Syrian Arab Rep.,
2011,Morocco,Syrian Arab Rep.,
2011,Rep. of Moldova,Syrian Arab Rep.,11
2011,Malta,Syrian Arab Rep.,80
2011,Malaysia,Syrian Arab Rep.,4
2011,Netherlands,Syrian Arab Rep.,1064
2011,Norway,Syrian Arab Rep.,171
2011,New Zealand,Syrian Arab Rep.,35
2011,Oman,Syrian Arab Rep.,7
2011,Pakistan,Syrian Arab Rep.,8
2011,Panama,Syrian Arab Rep.,
2011,Philippines,Syrian Arab Rep.,
2011,Poland,Syrian Arab Rep.,10
2011,Qatar,Syrian Arab Rep.,8
2011,Romania,Syrian Arab Rep.,20
2011,Russian Federation,Syrian Arab Rep.,4
2011,Saudi Arabia,Syrian Arab Rep.,14
2011,Slovakia,Syrian Arab Rep.,23
2011,Slovenia,Syrian Arab Rep.,
2011,Sweden,Syrian Arab Rep.,1206
2011,Syrian Arab Rep.,Syrian Arab Rep.,
2011,Chad,Syrian Arab Rep.,3
2011,Togo,Syrian Arab Rep.,1
2011,Thailand,Syrian Arab Rep.,
2011,Tunisia,Syrian Arab Rep.,11
2011,Turkey,Syrian Arab Rep.,19
2011,Ukraine,Syrian Arab Rep.,43
2011,United States of America,Syrian Arab Rep.,373
2011,Yemen,Syrian Arab Rep.,42
2012,Afghanistan,Syrian Arab Rep.,1
2012,Angola,Syrian Arab Rep.,
2012,Albania,Syrian Arab Rep.,
2012,United Arab Emirates,Syrian Arab Rep.,16
2012,Argentina,Syrian Arab Rep.,40
2012,Armenia,Syrian Arab Rep.,136
2012,Australia,Syrian Arab Rep.,204
2012,Austria,Syrian Arab Rep.,1675
2012,Azerbaijan,Syrian Arab Rep.,3
2012,Belgium,Syrian Arab Rep.,355
2012,Benin,Syrian Arab Rep.,1
2012,Bulgaria,Syrian Arab Rep.,97
2012,Bahrain,Syrian Arab Rep.,
2012,Bosnia and Herzegovina,Syrian Arab Rep.,5
2012,Belarus,Syrian Arab Rep.,
2012,Brazil,Syrian Arab Rep.,42
2012,Canada,Syrian Arab Rep.,533
2012,Switzerland,Syrian Arab Rep.,1391
2012,Chile,Syrian Arab Rep.,
2012,Cameroon,Syrian Arab Rep.,1
2012,Colombia,Syrian Arab Rep.,1
2012,Costa Rica,Syrian Arab Rep.,
2012,Cuba,Syrian Arab Rep.,11
2012,Cyprus,Syrian Arab Rep.,139
2012,Czech Rep.,Syrian Arab Rep.,54
2012,Germany,Syrian Arab Rep.,18165
2012,Denmark,Syrian Arab Rep.,1903
2012,Dominican Rep.,Syrian Arab Rep.,7
2012,Algeria,Syrian Arab Rep.,
2012,Ecuador,Syrian Arab Rep.,11
2012,Egypt,Syrian Arab Rep.,12836
2012,Spain,Syrian Arab Rep.,32
2012,Finland,Syrian Arab Rep.,218
2012,France,Syrian Arab Rep.,640
2012,United Kingdom,Syrian Arab Rep.,1717
2012,Georgia,Syrian Arab Rep.,141
2012,Ghana,Syrian Arab Rep.,
2012,Greece,Syrian Arab Rep.,20
2012,"China, Hong Kong SAR",Syrian Arab Rep.,
2012,Croatia,Syrian Arab Rep.,12
2012,Hungary,Syrian Arab Rep.,86
2012,Indonesia,Syrian Arab Rep.,5
2012,India,Syrian Arab Rep.,6
2012,Ireland,Syrian Arab Rep.,38
2012,Iraq,Syrian Arab Rep.,63586
2012,Iceland,Syrian Arab Rep.,2
2012,Italy,Syrian Arab Rep.,445
2012,Jordan,Syrian Arab Rep.,238798
2012,Japan,Syrian Arab Rep.,
2012,Kazakhstan,Syrian Arab Rep.,
